council,year,measure,value,sex
Scotland,2015-2017,Healthy Life Expectancy,62.32,Male
Aberdeen City,2015-2017,Healthy Life Expectancy,61.47,Male
Aberdeenshire,2015-2017,Healthy Life Expectancy,68.12,Male
Angus,2015-2017,Healthy Life Expectancy,62.92,Male
Argyll and Bute,2015-2017,Healthy Life Expectancy,64.29,Male
City of Edinburgh,2015-2017,Healthy Life Expectancy,65.03,Male
Clackmannanshire,2015-2017,Healthy Life Expectancy,62.57,Male
Dumfries and Galloway,2015-2017,Healthy Life Expectancy,64.44,Male
Dundee City,2015-2017,Healthy Life Expectancy,56.47,Male
East Ayrshire,2015-2017,Healthy Life Expectancy,60.16,Male
East Dunbartonshire,2015-2017,Healthy Life Expectancy,68.92,Male
East Lothian,2015-2017,Healthy Life Expectancy,65.31,Male
East Renfrewshire,2015-2017,Healthy Life Expectancy,66.48,Male
Falkirk,2015-2017,Healthy Life Expectancy,63.23,Male
Fife,2015-2017,Healthy Life Expectancy,62.29,Male
Glasgow City,2015-2017,Healthy Life Expectancy,57.22,Male
Highland,2015-2017,Healthy Life Expectancy,66.26,Male
Inverclyde,2015-2017,Healthy Life Expectancy,60.47,Male
Midlothian,2015-2017,Healthy Life Expectancy,61.76,Male
Moray,2015-2017,Healthy Life Expectancy,64.24,Male
Na h-Eileanan Siar,2015-2017,Healthy Life Expectancy,64.97,Male
North Ayrshire,2015-2017,Healthy Life Expectancy,56.01,Male
North Lanarkshire,2015-2017,Healthy Life Expectancy,58.12,Male
Orkney Islands,2015-2017,Healthy Life Expectancy,64.62,Male
Perth and Kinross,2015-2017,Healthy Life Expectancy,67.63,Male
Renfrewshire,2015-2017,Healthy Life Expectancy,60.95,Male
Scottish Borders,2015-2017,Healthy Life Expectancy,64.48,Male
Shetland Islands,2015-2017,Healthy Life Expectancy,68.12,Male
South Ayrshire,2015-2017,Healthy Life Expectancy,62.13,Male
South Lanarkshire,2015-2017,Healthy Life Expectancy,60.76,Male
Stirling,2015-2017,Healthy Life Expectancy,64.77,Male
West Dunbartonshire,2015-2017,Healthy Life Expectancy,58.18,Male
West Lothian,2015-2017,Healthy Life Expectancy,61.88,Male
Scotland,2016-2018,Healthy Life Expectancy,61.88,Male
Aberdeen City,2016-2018,Healthy Life Expectancy,60.96,Male
Aberdeenshire,2016-2018,Healthy Life Expectancy,68.92,Male
Angus,2016-2018,Healthy Life Expectancy,61.15,Male
Argyll and Bute,2016-2018,Healthy Life Expectancy,65.21,Male
City of Edinburgh,2016-2018,Healthy Life Expectancy,65.4,Male
Clackmannanshire,2016-2018,Healthy Life Expectancy,62.21,Male
Dumfries and Galloway,2016-2018,Healthy Life Expectancy,64.17,Male
Dundee City,2016-2018,Healthy Life Expectancy,56.46,Male
East Ayrshire,2016-2018,Healthy Life Expectancy,57.79,Male
East Dunbartonshire,2016-2018,Healthy Life Expectancy,69.69,Male
East Lothian,2016-2018,Healthy Life Expectancy,65.45,Male
East Renfrewshire,2016-2018,Healthy Life Expectancy,68.77,Male
Falkirk,2016-2018,Healthy Life Expectancy,62.1,Male
Fife,2016-2018,Healthy Life Expectancy,60.97,Male
Glasgow City,2016-2018,Healthy Life Expectancy,56.08,Male
Highland,2016-2018,Healthy Life Expectancy,64.34,Male
Inverclyde,2016-2018,Healthy Life Expectancy,59.58,Male
Midlothian,2016-2018,Healthy Life Expectancy,61.02,Male
Moray,2016-2018,Healthy Life Expectancy,62.12,Male
Na h-Eileanan Siar,2016-2018,Healthy Life Expectancy,66.07,Male
North Ayrshire,2016-2018,Healthy Life Expectancy,57.33,Male
North Lanarkshire,2016-2018,Healthy Life Expectancy,57.96,Male
Orkney Islands,2016-2018,Healthy Life Expectancy,66.68,Male
Perth and Kinross,2016-2018,Healthy Life Expectancy,66.64,Male
Renfrewshire,2016-2018,Healthy Life Expectancy,60.17,Male
Scottish Borders,2016-2018,Healthy Life Expectancy,63.5,Male
Shetland Islands,2016-2018,Healthy Life Expectancy,67.49,Male
South Ayrshire,2016-2018,Healthy Life Expectancy,61.68,Male
South Lanarkshire,2016-2018,Healthy Life Expectancy,59.27,Male
Stirling,2016-2018,Healthy Life Expectancy,63.28,Male
West Dunbartonshire,2016-2018,Healthy Life Expectancy,58.35,Male
West Lothian,2016-2018,Healthy Life Expectancy,63.04,Male
Scotland,2017-2019,Healthy Life Expectancy,61.68,Male
Aberdeen City,2017-2019,Healthy Life Expectancy,60.59,Male
Aberdeenshire,2017-2019,Healthy Life Expectancy,67.91,Male
Angus,2017-2019,Healthy Life Expectancy,60.98,Male
Argyll and Bute,2017-2019,Healthy Life Expectancy,64.7,Male
City of Edinburgh,2017-2019,Healthy Life Expectancy,66.29,Male
Clackmannanshire,2017-2019,Healthy Life Expectancy,62.78,Male
Dumfries and Galloway,2017-2019,Healthy Life Expectancy,62.39,Male
Dundee City,2017-2019,Healthy Life Expectancy,56.84,Male
East Ayrshire,2017-2019,Healthy Life Expectancy,59.33,Male
East Dunbartonshire,2017-2019,Healthy Life Expectancy,69.81,Male
East Lothian,2017-2019,Healthy Life Expectancy,65.2,Male
East Renfrewshire,2017-2019,Healthy Life Expectancy,68.28,Male
Falkirk,2017-2019,Healthy Life Expectancy,62.39,Male
Fife,2017-2019,Healthy Life Expectancy,61.56,Male
Glasgow City,2017-2019,Healthy Life Expectancy,54.59,Male
Highland,2017-2019,Healthy Life Expectancy,63.95,Male
Inverclyde,2017-2019,Healthy Life Expectancy,58.35,Male
Midlothian,2017-2019,Healthy Life Expectancy,63.36,Male
Moray,2017-2019,Healthy Life Expectancy,61.48,Male
Na h-Eileanan Siar,2017-2019,Healthy Life Expectancy,66.99,Male
North Ayrshire,2017-2019,Healthy Life Expectancy,58.52,Male
North Lanarkshire,2017-2019,Healthy Life Expectancy,58.67,Male
Orkney Islands,2017-2019,Healthy Life Expectancy,69.33,Male
Perth and Kinross,2017-2019,Healthy Life Expectancy,66.32,Male
Renfrewshire,2017-2019,Healthy Life Expectancy,60.74,Male
Scottish Borders,2017-2019,Healthy Life Expectancy,63.31,Male
Shetland Islands,2017-2019,Healthy Life Expectancy,68.95,Male
South Ayrshire,2017-2019,Healthy Life Expectancy,59.96,Male
South Lanarkshire,2017-2019,Healthy Life Expectancy,57.91,Male
Stirling,2017-2019,Healthy Life Expectancy,61.79,Male
West Dunbartonshire,2017-2019,Healthy Life Expectancy,59.13,Male
West Lothian,2017-2019,Healthy Life Expectancy,61.33,Male
Scotland,2018-2020,Healthy Life Expectancy,60.93,Male
Aberdeen City,2018-2020,Healthy Life Expectancy,58.29,Male
Aberdeenshire,2018-2020,Healthy Life Expectancy,67.01,Male
Angus,2018-2020,Healthy Life Expectancy,62.21,Male
Argyll and Bute,2018-2020,Healthy Life Expectancy,63.39,Male
City of Edinburgh,2018-2020,Healthy Life Expectancy,64.2,Male
Clackmannanshire,2018-2020,Healthy Life Expectancy,62.47,Male
Dumfries and Galloway,2018-2020,Healthy Life Expectancy,63.11,Male
Dundee City,2018-2020,Healthy Life Expectancy,56.14,Male
East Ayrshire,2018-2020,Healthy Life Expectancy,57.19,Male
East Dunbartonshire,2018-2020,Healthy Life Expectancy,66.72,Male
East Lothian,2018-2020,Healthy Life Expectancy,63.66,Male
East Renfrewshire,2018-2020,Healthy Life Expectancy,68.65,Male
Falkirk,2018-2020,Healthy Life Expectancy,60.77,Male
Fife,2018-2020,Healthy Life Expectancy,57.84,Male
Glasgow City,2018-2020,Healthy Life Expectancy,56.01,Male
Highland,2018-2020,Healthy Life Expectancy,64.53,Male
Inverclyde,2018-2020,Healthy Life Expectancy,54.36,Male
Midlothian,2018-2020,Healthy Life Expectancy,58.59,Male
Moray,2018-2020,Healthy Life Expectancy,61.56,Male
Na h-Eileanan Siar,2018-2020,Healthy Life Expectancy,68.33,Male
North Ayrshire,2018-2020,Healthy Life Expectancy,57.42,Male
North Lanarkshire,2018-2020,Healthy Life Expectancy,56.56,Male
Orkney Islands,2018-2020,Healthy Life Expectancy,71.24,Male
Perth and Kinross,2018-2020,Healthy Life Expectancy,66.98,Male
Renfrewshire,2018-2020,Healthy Life Expectancy,60.58,Male
Scottish Borders,2018-2020,Healthy Life Expectancy,64.12,Male
Shetland Islands,2018-2020,Healthy Life Expectancy,63.51,Male
South Ayrshire,2018-2020,Healthy Life Expectancy,61.84,Male
South Lanarkshire,2018-2020,Healthy Life Expectancy,59.52,Male
Stirling,2018-2020,Healthy Life Expectancy,63.38,Male
West Dunbartonshire,2018-2020,Healthy Life Expectancy,58.06,Male
West Lothian,2018-2020,Healthy Life Expectancy,61.31,Male
Scotland,2015-2017,Healthy Life Expectancy,62.64,Female
Aberdeen City,2015-2017,Healthy Life Expectancy,64.65,Female
Aberdeenshire,2015-2017,Healthy Life Expectancy,67.01,Female
Angus,2015-2017,Healthy Life Expectancy,63.1,Female
Argyll and Bute,2015-2017,Healthy Life Expectancy,62.38,Female
City of Edinburgh,2015-2017,Healthy Life Expectancy,65.15,Female
Clackmannanshire,2015-2017,Healthy Life Expectancy,60.18,Female
Dumfries and Galloway,2015-2017,Healthy Life Expectancy,63.76,Female
Dundee City,2015-2017,Healthy Life Expectancy,59.81,Female
East Ayrshire,2015-2017,Healthy Life Expectancy,58.3,Female
East Dunbartonshire,2015-2017,Healthy Life Expectancy,68.2,Female
East Lothian,2015-2017,Healthy Life Expectancy,63.91,Female
East Renfrewshire,2015-2017,Healthy Life Expectancy,65.53,Female
Falkirk,2015-2017,Healthy Life Expectancy,60.93,Female
Fife,2015-2017,Healthy Life Expectancy,61.87,Female
Glasgow City,2015-2017,Healthy Life Expectancy,58.89,Female
Highland,2015-2017,Healthy Life Expectancy,63.58,Female
Inverclyde,2015-2017,Healthy Life Expectancy,59.47,Female
Midlothian,2015-2017,Healthy Life Expectancy,63.78,Female
Moray,2015-2017,Healthy Life Expectancy,64.16,Female
Na h-Eileanan Siar,2015-2017,Healthy Life Expectancy,67.22,Female
North Ayrshire,2015-2017,Healthy Life Expectancy,57.13,Female
North Lanarkshire,2015-2017,Healthy Life Expectancy,60.41,Female
Orkney Islands,2015-2017,Healthy Life Expectancy,75.01,Female
Perth and Kinross,2015-2017,Healthy Life Expectancy,67.81,Female
Renfrewshire,2015-2017,Healthy Life Expectancy,60.79,Female
Scottish Borders,2015-2017,Healthy Life Expectancy,65.35,Female
Shetland Islands,2015-2017,Healthy Life Expectancy,67.11,Female
South Ayrshire,2015-2017,Healthy Life Expectancy,63.54,Female
South Lanarkshire,2015-2017,Healthy Life Expectancy,62.98,Female
Stirling,2015-2017,Healthy Life Expectancy,64.41,Female
West Dunbartonshire,2015-2017,Healthy Life Expectancy,59.66,Female
West Lothian,2015-2017,Healthy Life Expectancy,62.15,Female
Scotland,2016-2018,Healthy Life Expectancy,62.21,Female
Aberdeen City,2016-2018,Healthy Life Expectancy,63.41,Female
Aberdeenshire,2016-2018,Healthy Life Expectancy,67.99,Female
Angus,2016-2018,Healthy Life Expectancy,63.39,Female
Argyll and Bute,2016-2018,Healthy Life Expectancy,62.95,Female
City of Edinburgh,2016-2018,Healthy Life Expectancy,63.86,Female
Clackmannanshire,2016-2018,Healthy Life Expectancy,61.56,Female
Dumfries and Galloway,2016-2018,Healthy Life Expectancy,64.25,Female
Dundee City,2016-2018,Healthy Life Expectancy,59.82,Female
East Ayrshire,2016-2018,Healthy Life Expectancy,58.75,Female
East Dunbartonshire,2016-2018,Healthy Life Expectancy,68.36,Female
East Lothian,2016-2018,Healthy Life Expectancy,64.03,Female
East Renfrewshire,2016-2018,Healthy Life Expectancy,66.14,Female
Falkirk,2016-2018,Healthy Life Expectancy,60.2,Female
Fife,2016-2018,Healthy Life Expectancy,60.16,Female
Glasgow City,2016-2018,Healthy Life Expectancy,58.16,Female
Highland,2016-2018,Healthy Life Expectancy,65.41,Female
Inverclyde,2016-2018,Healthy Life Expectancy,59.71,Female
Midlothian,2016-2018,Healthy Life Expectancy,63.46,Female
Moray,2016-2018,Healthy Life Expectancy,62.11,Female
Na h-Eileanan Siar,2016-2018,Healthy Life Expectancy,66.91,Female
North Ayrshire,2016-2018,Healthy Life Expectancy,56.01,Female
North Lanarkshire,2016-2018,Healthy Life Expectancy,58.94,Female
Orkney Islands,2016-2018,Healthy Life Expectancy,73.32,Female
Perth and Kinross,2016-2018,Healthy Life Expectancy,65.99,Female
Renfrewshire,2016-2018,Healthy Life Expectancy,62.16,Female
Scottish Borders,2016-2018,Healthy Life Expectancy,65.32,Female
Shetland Islands,2016-2018,Healthy Life Expectancy,58.36,Female
South Ayrshire,2016-2018,Healthy Life Expectancy,63.69,Female
South Lanarkshire,2016-2018,Healthy Life Expectancy,62.21,Female
Stirling,2016-2018,Healthy Life Expectancy,64.38,Female
West Dunbartonshire,2016-2018,Healthy Life Expectancy,60.66,Female
West Lothian,2016-2018,Healthy Life Expectancy,61.81,Female
Scotland,2017-2019,Healthy Life Expectancy,61.94,Female
Aberdeen City,2017-2019,Healthy Life Expectancy,62.52,Female
Aberdeenshire,2017-2019,Healthy Life Expectancy,65.96,Female
Angus,2017-2019,Healthy Life Expectancy,63.09,Female
Argyll and Bute,2017-2019,Healthy Life Expectancy,63.43,Female
City of Edinburgh,2017-2019,Healthy Life Expectancy,64.99,Female
Clackmannanshire,2017-2019,Healthy Life Expectancy,62.41,Female
Dumfries and Galloway,2017-2019,Healthy Life Expectancy,62.53,Female
Dundee City,2017-2019,Healthy Life Expectancy,57.88,Female
East Ayrshire,2017-2019,Healthy Life Expectancy,58.24,Female
East Dunbartonshire,2017-2019,Healthy Life Expectancy,66.53,Female
East Lothian,2017-2019,Healthy Life Expectancy,64.61,Female
East Renfrewshire,2017-2019,Healthy Life Expectancy,67.19,Female
Falkirk,2017-2019,Healthy Life Expectancy,59.71,Female
Fife,2017-2019,Healthy Life Expectancy,61.27,Female
Glasgow City,2017-2019,Healthy Life Expectancy,57.59,Female
Highland,2017-2019,Healthy Life Expectancy,64.36,Female
Inverclyde,2017-2019,Healthy Life Expectancy,59.65,Female
Midlothian,2017-2019,Healthy Life Expectancy,63.97,Female
Moray,2017-2019,Healthy Life Expectancy,61.38,Female
Na h-Eileanan Siar,2017-2019,Healthy Life Expectancy,69.58,Female
North Ayrshire,2017-2019,Healthy Life Expectancy,56.34,Female
North Lanarkshire,2017-2019,Healthy Life Expectancy,57.77,Female
Orkney Islands,2017-2019,Healthy Life Expectancy,75.05,Female
Perth and Kinross,2017-2019,Healthy Life Expectancy,63.66,Female
Renfrewshire,2017-2019,Healthy Life Expectancy,62.26,Female
Scottish Borders,2017-2019,Healthy Life Expectancy,63.81,Female
Shetland Islands,2017-2019,Healthy Life Expectancy,61.87,Female
South Ayrshire,2017-2019,Healthy Life Expectancy,63.28,Female
South Lanarkshire,2017-2019,Healthy Life Expectancy,62.98,Female
Stirling,2017-2019,Healthy Life Expectancy,64.9,Female
West Dunbartonshire,2017-2019,Healthy Life Expectancy,60.55,Female
West Lothian,2017-2019,Healthy Life Expectancy,59.07,Female
Scotland,2018-2020,Healthy Life Expectancy,61.79,Female
Aberdeen City,2018-2020,Healthy Life Expectancy,61.25,Female
Aberdeenshire,2018-2020,Healthy Life Expectancy,65.86,Female
Angus,2018-2020,Healthy Life Expectancy,62.56,Female
Argyll and Bute,2018-2020,Healthy Life Expectancy,64.63,Female
City of Edinburgh,2018-2020,Healthy Life Expectancy,66.48,Female
Clackmannanshire,2018-2020,Healthy Life Expectancy,62.66,Female
Dumfries and Galloway,2018-2020,Healthy Life Expectancy,61.41,Female
Dundee City,2018-2020,Healthy Life Expectancy,58.01,Female
East Ayrshire,2018-2020,Healthy Life Expectancy,59.13,Female
East Dunbartonshire,2018-2020,Healthy Life Expectancy,66.38,Female
East Lothian,2018-2020,Healthy Life Expectancy,65.31,Female
East Renfrewshire,2018-2020,Healthy Life Expectancy,67.03,Female
Falkirk,2018-2020,Healthy Life Expectancy,59.49,Female
Fife,2018-2020,Healthy Life Expectancy,58.98,Female
Glasgow City,2018-2020,Healthy Life Expectancy,57.43,Female
Highland,2018-2020,Healthy Life Expectancy,65.32,Female
Inverclyde,2018-2020,Healthy Life Expectancy,59.38,Female
Midlothian,2018-2020,Healthy Life Expectancy,63.67,Female
Moray,2018-2020,Healthy Life Expectancy,62.56,Female
Na h-Eileanan Siar,2018-2020,Healthy Life Expectancy,67.52,Female
North Ayrshire,2018-2020,Healthy Life Expectancy,54.04,Female
North Lanarkshire,2018-2020,Healthy Life Expectancy,55.49,Female
Orkney Islands,2018-2020,Healthy Life Expectancy,77.49,Female
Perth and Kinross,2018-2020,Healthy Life Expectancy,62.32,Female
Renfrewshire,2018-2020,Healthy Life Expectancy,61.59,Female
Scottish Borders,2018-2020,Healthy Life Expectancy,65.3,Female
Shetland Islands,2018-2020,Healthy Life Expectancy,62.5,Female
South Ayrshire,2018-2020,Healthy Life Expectancy,63.66,Female
South Lanarkshire,2018-2020,Healthy Life Expectancy,62.66,Female
Stirling,2018-2020,Healthy Life Expectancy,64.71,Female
West Dunbartonshire,2018-2020,Healthy Life Expectancy,58.47,Female
West Lothian,2018-2020,Healthy Life Expectancy,60.98,Female
Scotland,2001 - 2003 ,Life Expectancy,73.49,Male
Aberdeen City,2001 - 2003 ,Life Expectancy,74.15,Male
Aberdeenshire,2001 - 2003 ,Life Expectancy,76.11,Male
Angus,2001 - 2003 ,Life Expectancy,75.28,Male
Argyll and Bute,2001 - 2003 ,Life Expectancy,74.74,Male
City of Edinburgh,2001 - 2003 ,Life Expectancy,74.8,Male
Clackmannanshire,2001 - 2003 ,Life Expectancy,73.54,Male
Dumfries and Galloway,2001 - 2003 ,Life Expectancy,74.81,Male
Dundee City,2001 - 2003 ,Life Expectancy,71.95,Male
East Ayrshire,2001 - 2003 ,Life Expectancy,72.57,Male
East Dunbartonshire,2001 - 2003 ,Life Expectancy,77.11,Male
East Lothian,2001 - 2003 ,Life Expectancy,75.63,Male
East Renfrewshire,2001 - 2003 ,Life Expectancy,75.99,Male
Falkirk,2001 - 2003 ,Life Expectancy,73.76,Male
Fife,2001 - 2003 ,Life Expectancy,74.56,Male
Glasgow City,2001 - 2003 ,Life Expectancy,69.05,Male
Highland,2001 - 2003 ,Life Expectancy,74.4,Male
Inverclyde,2001 - 2003 ,Life Expectancy,70.17,Male
Midlothian,2001 - 2003 ,Life Expectancy,74.68,Male
Moray,2001 - 2003 ,Life Expectancy,74.18,Male
Na h-Eileanan Siar,2001 - 2003 ,Life Expectancy,71.74,Male
North Ayrshire,2001 - 2003 ,Life Expectancy,72.67,Male
North Lanarkshire,2001 - 2003 ,Life Expectancy,71.94,Male
Orkney Islands,2001 - 2003 ,Life Expectancy,75.93,Male
Perth and Kinross,2001 - 2003 ,Life Expectancy,76,Male
Renfrewshire,2001 - 2003 ,Life Expectancy,71.9,Male
Scottish Borders,2001 - 2003 ,Life Expectancy,75.45,Male
Shetland Islands,2001 - 2003 ,Life Expectancy,73.54,Male
South Ayrshire,2001 - 2003 ,Life Expectancy,74.02,Male
South Lanarkshire,2001 - 2003 ,Life Expectancy,74,Male
Stirling,2001 - 2003 ,Life Expectancy,75.51,Male
West Dunbartonshire,2001 - 2003 ,Life Expectancy,70.79,Male
West Lothian,2001 - 2003 ,Life Expectancy,73.5,Male
Scotland,2002 - 2004 ,Life Expectancy,73.76,Male
Aberdeen City,2002 - 2004 ,Life Expectancy,74.42,Male
Aberdeenshire,2002 - 2004 ,Life Expectancy,76.28,Male
Angus,2002 - 2004 ,Life Expectancy,75.74,Male
Argyll and Bute,2002 - 2004 ,Life Expectancy,74.65,Male
City of Edinburgh,2002 - 2004 ,Life Expectancy,75.23,Male
Clackmannanshire,2002 - 2004 ,Life Expectancy,73.17,Male
Dumfries and Galloway,2002 - 2004 ,Life Expectancy,75.43,Male
Dundee City,2002 - 2004 ,Life Expectancy,72.41,Male
East Ayrshire,2002 - 2004 ,Life Expectancy,73.52,Male
East Dunbartonshire,2002 - 2004 ,Life Expectancy,76.96,Male
East Lothian,2002 - 2004 ,Life Expectancy,75.61,Male
East Renfrewshire,2002 - 2004 ,Life Expectancy,76.46,Male
Falkirk,2002 - 2004 ,Life Expectancy,73.93,Male
Fife,2002 - 2004 ,Life Expectancy,74.67,Male
Glasgow City,2002 - 2004 ,Life Expectancy,69.26,Male
Highland,2002 - 2004 ,Life Expectancy,74.54,Male
Inverclyde,2002 - 2004 ,Life Expectancy,70.29,Male
Midlothian,2002 - 2004 ,Life Expectancy,74.97,Male
Moray,2002 - 2004 ,Life Expectancy,74.95,Male
Na h-Eileanan Siar,2002 - 2004 ,Life Expectancy,72.38,Male
North Ayrshire,2002 - 2004 ,Life Expectancy,73.25,Male
North Lanarkshire,2002 - 2004 ,Life Expectancy,72.41,Male
Orkney Islands,2002 - 2004 ,Life Expectancy,76.57,Male
Perth and Kinross,2002 - 2004 ,Life Expectancy,76.18,Male
Renfrewshire,2002 - 2004 ,Life Expectancy,71.85,Male
Scottish Borders,2002 - 2004 ,Life Expectancy,75.29,Male
Shetland Islands,2002 - 2004 ,Life Expectancy,74.11,Male
South Ayrshire,2002 - 2004 ,Life Expectancy,74.41,Male
South Lanarkshire,2002 - 2004 ,Life Expectancy,73.87,Male
Stirling,2002 - 2004 ,Life Expectancy,75.71,Male
West Dunbartonshire,2002 - 2004 ,Life Expectancy,70.76,Male
West Lothian,2002 - 2004 ,Life Expectancy,74.28,Male
Scotland,2003 - 2005 ,Life Expectancy,74.21,Male
Aberdeen City,2003 - 2005 ,Life Expectancy,74.95,Male
Aberdeenshire,2003 - 2005 ,Life Expectancy,76.69,Male
Angus,2003 - 2005 ,Life Expectancy,75.77,Male
Argyll and Bute,2003 - 2005 ,Life Expectancy,74.93,Male
City of Edinburgh,2003 - 2005 ,Life Expectancy,75.34,Male
Clackmannanshire,2003 - 2005 ,Life Expectancy,73.24,Male
Dumfries and Galloway,2003 - 2005 ,Life Expectancy,75.69,Male
Dundee City,2003 - 2005 ,Life Expectancy,72.92,Male
East Ayrshire,2003 - 2005 ,Life Expectancy,73.73,Male
East Dunbartonshire,2003 - 2005 ,Life Expectancy,77.61,Male
East Lothian,2003 - 2005 ,Life Expectancy,76.13,Male
East Renfrewshire,2003 - 2005 ,Life Expectancy,76.88,Male
